trip_id,vehicle_id,timestamp,label,confidence,safety_score,dtw_calm,dtw_aggressive
calm_0,V001,2026-03-15T04:35:33.263187,calm,99.0638632313453,99.1,,
calm_1,V001,2026-03-15T04:35:33.263187,calm,97.3108333695302,97.3,,
calm_2,V001,2026-03-15T04:35:33.263187,calm,97.49691367075667,97.5,,
calm_3,V001,2026-03-15T04:35:33.263187,calm,99.38362885798308,99.4,,
calm_4,V001,2026-03-15T04:35:33.263187,calm,99.53484574818354,99.5,,
calm_5,V001,2026-03-15T04:35:33.263187,calm,93.17854401261242,93.2,,
calm_6,V001,2026-03-15T04:35:33.263187,calm,99.65376549063798,99.7,,
calm_7,V001,2026-03-15T04:35:33.263187,calm,99.52107208815451,99.5,,
calm_8,V001,2026-03-15T04:35:33.263187,calm,99.71153744338449,99.7,,
calm_9,V001,2026-03-15T04:35:33.263187,calm,98.3839495772627,98.4,,
calm_10,V001,2026-03-15T04:35:33.263187,calm,99.28421351765725,99.3,,
calm_11,V001,2026-03-15T04:35:33.263187,calm,99.73866176548843,99.7,,
calm_12,V001,2026-03-15T04:35:33.263187,calm,96.41348448246906,96.4,,
calm_13,V001,2026-03-15T04:35:33.263187,calm,99.68269704560974,99.7,,
calm_14,V001,2026-03-15T04:35:33.263187,calm,96.21456583114436,96.2,,
calm_15,V001,2026-03-15T04:35:33.263187,calm,90.49680420533883,90.5,,
calm_16,V001,2026-03-15T04:35:33.263187,calm,99.51414052061233,99.5,,
calm_17,V001,2026-03-15T04:35:33.263187,calm,99.43193317806666,99.4,,
calm_18,V001,2026-03-15T04:35:33.263187,calm,99.6714693644557,99.7,,
calm_19,V001,2026-03-15T04:35:33.263187,calm,99.7945752577681,99.8,,
calm_0,V021,2026-03-15T04:38:59.858484,calm,99.0638632313453,99.1,,
calm_1,V021,2026-03-15T04:38:59.858484,calm,97.3108333695302,97.3,,
calm_2,V021,2026-03-15T04:38:59.858484,calm,97.49691367075667,97.5,,
calm_3,V021,2026-03-15T04:38:59.858484,calm,99.38362885798308,99.4,,
calm_4,V021,2026-03-15T04:38:59.858484,calm,99.53484574818354,99.5,,
calm_5,V021,2026-03-15T04:38:59.858484,calm,93.17854401261242,93.2,,
calm_6,V021,2026-03-15T04:38:59.858484,calm,99.65376549063798,99.7,,
calm_7,V021,2026-03-15T04:38:59.858484,calm,99.52107208815451,99.5,,
calm_8,V021,2026-03-15T04:38:59.858484,calm,99.71153744338449,99.7,,
calm_9,V021,2026-03-15T04:38:59.858484,calm,98.3839495772627,98.4,,
calm_10,V021,2026-03-15T04:38:59.858484,calm,99.28421351765725,99.3,,
calm_11,V021,2026-03-15T04:38:59.858484,calm,99.73866176548843,99.7,,
calm_12,V021,2026-03-15T04:38:59.858484,calm,96.41348448246906,96.4,,
calm_13,V021,2026-03-15T04:38:59.858484,calm,99.68269704560974,99.7,,
calm_14,V021,2026-03-15T04:38:59.858484,calm,96.21456583114436,96.2,,
calm_15,V021,2026-03-15T04:38:59.858484,calm,90.49680420533883,90.5,,
calm_16,V021,2026-03-15T04:38:59.858484,calm,99.51414052061233,99.5,,
calm_17,V021,2026-03-15T04:38:59.858484,calm,99.43193317806666,99.4,,
calm_18,V021,2026-03-15T04:38:59.858484,calm,99.6714693644557,99.7,,
calm_19,V021,2026-03-15T04:38:59.858484,calm,99.7945752577681,99.8,,
calm_0,V021,2026-03-15T04:39:01.517745,calm,99.0638632313453,99.1,,
calm_1,V021,2026-03-15T04:39:01.517745,calm,97.3108333695302,97.3,,
calm_2,V021,2026-03-15T04:39:01.517745,calm,97.49691367075667,97.5,,
calm_3,V021,2026-03-15T04:39:01.517745,calm,99.38362885798308,99.4,,
calm_4,V021,2026-03-15T04:39:01.517745,calm,99.53484574818354,99.5,,
calm_5,V021,2026-03-15T04:39:01.517745,calm,93.17854401261242,93.2,,
calm_6,V021,2026-03-15T04:39:01.517745,calm,99.65376549063798,99.7,,
calm_7,V021,2026-03-15T04:39:01.517745,calm,99.52107208815451,99.5,,
calm_8,V021,2026-03-15T04:39:01.517745,calm,99.71153744338449,99.7,,
calm_9,V021,2026-03-15T04:39:01.517745,calm,98.3839495772627,98.4,,
calm_10,V021,2026-03-15T04:39:01.517745,calm,99.28421351765725,99.3,,
calm_11,V021,2026-03-15T04:39:01.517745,calm,99.73866176548843,99.7,,
calm_12,V021,2026-03-15T04:39:01.517745,calm,96.41348448246906,96.4,,
calm_13,V021,2026-03-15T04:39:01.517745,calm,99.68269704560974,99.7,,
calm_14,V021,2026-03-15T04:39:01.517745,calm,96.21456583114436,96.2,,
calm_15,V021,2026-03-15T04:39:01.517745,calm,90.49680420533883,90.5,,
calm_16,V021,2026-03-15T04:39:01.517745,calm,99.51414052061233,99.5,,
calm_17,V021,2026-03-15T04:39:01.517745,calm,99.43193317806666,99.4,,
calm_18,V021,2026-03-15T04:39:01.517745,calm,99.6714693644557,99.7,,
calm_19,V021,2026-03-15T04:39:01.517745,calm,99.7945752577681,99.8,,
0,TN 14 AK 3524,2026-03-15T04:46:47.636745,aggressive,99.99994629557067,0.0,,
1,TN 14 AK 3524,2026-03-15T04:46:47.636745,aggressive,99.99967047527251,0.0,,
2,TN 14 AK 3524,2026-03-15T04:46:47.636745,aggressive,99.99972157564002,0.0,,
3,TN 14 AK 3524,2026-03-15T04:46:47.636745,calm,92.10635194628297,92.1,,
4,TN 14 AK 3524,2026-03-15T04:46:47.636745,calm,99.73207643054725,99.7,,
5,TN 14 AK 3524,2026-03-15T04:46:47.636745,aggressive,99.99989670782263,0.0,,
6,TN 14 AK 3524,2026-03-15T04:46:47.636745,aggressive,99.67692908679888,0.3,,
7,TN 14 AK 3524,2026-03-15T04:46:47.636745,calm,98.96477240479514,99.0,,
8,TN 14 AK 3524,2026-03-15T04:46:47.636745,calm,52.820127122015556,52.8,,
9,TN 14 AK 3524,2026-03-15T04:46:47.636745,calm,99.50534098671636,99.5,,
calm_0,V021,2026-03-19T14:26:35.603478,calm,99.0638632313453,99.1,,
calm_1,V021,2026-03-19T14:26:35.603478,calm,97.3108333695302,97.3,,
calm_2,V021,2026-03-19T14:26:35.603478,calm,97.49691367075667,97.5,,
calm_3,V021,2026-03-19T14:26:35.603478,calm,99.38362885798308,99.4,,
calm_4,V021,2026-03-19T14:26:35.603478,calm,99.53484574818354,99.5,,
calm_5,V021,2026-03-19T14:26:35.603478,calm,93.17854401261242,93.2,,
calm_6,V021,2026-03-19T14:26:35.603478,calm,99.65376549063798,99.7,,
calm_7,V021,2026-03-19T14:26:35.603478,calm,99.52107208815451,99.5,,
calm_8,V021,2026-03-19T14:26:35.603478,calm,99.71153744338449,99.7,,
calm_9,V021,2026-03-19T14:26:35.603478,calm,98.3839495772627,98.4,,
calm_10,V021,2026-03-19T14:26:35.603478,calm,99.28421351765725,99.3,,
calm_11,V021,2026-03-19T14:26:35.603478,calm,99.73866176548843,99.7,,
calm_12,V021,2026-03-19T14:26:35.603478,calm,96.41348448246906,96.4,,
calm_13,V021,2026-03-19T14:26:35.603478,calm,99.68269704560974,99.7,,
calm_14,V021,2026-03-19T14:26:35.603478,calm,96.21456583114436,96.2,,
calm_15,V021,2026-03-19T14:26:35.603478,calm,90.49680420533883,90.5,,
calm_16,V021,2026-03-19T14:26:35.603478,calm,99.51414052061233,99.5,,
calm_17,V021,2026-03-19T14:26:35.603478,calm,99.43193317806666,99.4,,
