trip_id,label,jerk,speed_t0,speed_t1,speed_t2,speed_t3,speed_t4,speed_t5,speed_t6,speed_t7,speed_t8,speed_t9,speed_t10,speed_t11,speed_t12,speed_t13,speed_t14,speed_t15,speed_t16,speed_t17,speed_t18,speed_t19,speed_t20,speed_t21,speed_t22,speed_t23,speed_t24,speed_t25,speed_t26,speed_t27,speed_t28,speed_t29,speed_t30,speed_t31,speed_t32,speed_t33,speed_t34,speed_t35,speed_t36,speed_t37,speed_t38,speed_t39,speed_t40,speed_t41,speed_t42,speed_t43,speed_t44,speed_t45,speed_t46,speed_t47,speed_t48,speed_t49,dtw_calm,dtw_aggressive
calm_0,calm,1.4841091260713697,35.479120971119265,35.11239160963158,37.26397912909987,38.44818730345606,36.01325139078196,38.866985500602496,40.433823712544616,42.15020954420634,39.91889134025961,39.621206967633015,38.8459951130285,41.406585046120114,42.2697757666041,44.20634544622908,43.86683063919307,42.23026296990173,42.55777169199674,39.94067522862179,41.906462260577285,42.69644865530967,44.24497509582192,43.37213090460112,46.196319050970544,48.55504577890373,50.2253467613463,48.393179008458105,48.19350503082031,45.456327625543686,43.382064577948974,44.4803582974037,45.948931232850605,48.753989627455866,47.708941776284775,46.93170001249399,46.74903488014884,44.88586303465456,42.66539206666739,42.51962162402299,40.88107771832829,41.89996168642335,41.52287319965734,43.51894237600436,44.72053298801786,43.59473283631011,45.58829164468131,47.41687778966213,46.74174806384317,45.47171668742463,46.566689711274485,44.40520461293034,101.97799136737964,25.774028494587917
calm_1,calm,1.2329650085354134,23.998164049502165,21.0423376680082,22.763883933021027,23.75298907257322,24.983981344331237,26.66835553046304,26.42185018369308,26.83429735941044,24.673079348176387,22.360259789392227,23.370677560135057,23.197254796993853,23.588671435880983,25.178664580377134,25.986974500380683,26.30845090432866,26.66369386880114,25.48739445717681,22.67230146458445,22.292605799978624,20.5801138368958,20.03128569924361,22.15170413885261,20.555341054044657,17.90515750417905,16.59346085631103,15.355023402911131,16.326522491272502,16.66871540532017,18.37210465995865,19.357985901922977,18.7963070705634,20.68042937855961,18.68226689800583,15.818539336808994,13.358826501462843,14.692982605041546,14.464245986549871,12.43187666075148,12.438145311371663,10.352017927650676,11.52994017811709,11.206877831561275,10.49300518814017,10.0,10.78169555871333,10.0,10.0,10.0,12.771385987297087,82.98627998216176,212.7123445556001
calm_2,calm,1.336256968236473,38.17161381415214,39.36985661701664,37.96507638577376,40.7801346498601,42.45264007365487,43.75398120860884,43.45015022147157,42.08359959254253,39.66194536546352,42.07755974472657,41.81221748372824,40.02639767249962,38.86213741740354,39.33745483105491,37.3980915286903,39.53777723324456,41.08889441225581,42.40567214796143,41.99823038661206,42.76208343082671,43.266671244303126,44.16575085363205,41.67241678047138,41.16726119349504,38.41694623666639,38.3808911521335,37.36005842613021,35.22720355932649,32.8476213656618,33.37348879872808,31.397046609949392,33.947767320210176,34.43413415841255,33.51535298562157,34.06084593451007,31.197669160688257,33.94902444013693,33.842845061794335,35.53925642529605,33.035636424830685,32.95558640985965,32.89982837598677,35.52678710583667,35.95715542009312,35.79809182643485,34.39994580498621,33.38935978904152,33.513394203870746,33.146862965701025,30.276535444983008,58.81204987909508,85.59184895507458
calm_3,calm,1.6670155752114328,36.52583848388716,38.90280311492576,36.744297648917424,37.06851451015172,34.71996895696439,35.75340951520326,34.44081221823731,35.39734802638872,36.759315712110016,38.37120066361596,36.01764633935134,38.51371741017699,36.89500135554627,34.11947669260335,34.44859150895225,33.67412521212688,35.65286367092136,37.50237250330717,36.40520586024346,39.12260223066193,37.868109259502646,37.958452034892936,36.49424257829856,39.110503998592336,37.09815090408444,34.36761462043842,33.978196980456644,36.93245036479166,39.28251396232115,40.77416207906284,43.11891702433399,45.47959686252117,45.592747024839866,44.48832133582462,46.12039592849055,47.09036350749712,46.33230988073937,43.89910988910847,45.37984755720262,43.95461065273981,46.57548955594248,45.021313005976594,42.75786060044551,44.74453663319495,42.66424253294191,40.73985238188835,41.33614913101341,43.58352137603819,41.76212937032563,40.6240714077262,78.74646217074884,39.7699224099063
calm_4,calm,1.5146499503827622,35.548096764823555,38.37905532118936,38.38350243840341,36.24688745371092,33.33050517996013,31.70844135995326,29.499374666672384,30.56532670834953,28.29632173612072,28.334301325844518,29.499875939701838,29.986575595027247,28.185229504987596,30.00997666208117,31.302419439775974,32.73632346326923,30.52266997261311,28.265192794515176,30.830568100554224,30.216037263503868,29.021729414189505,28.953233686298702,29.9304189628802,32.66415850516202,31.38283586645435,33.93168644232651,31.08084339064405,31.412031644605,32.215882314691505,29.851266737196024,27.6933043195795,27.20799023547732,30.00538170833641,30.581637027742648,33.17977635734391,35.00594185102174,34.810231460353485,36.51881215586661,33.62583285972854,31.28069684032295,33.25726852961937,35.03817105957034,33.43401551136894,33.61863305496326,34.25472797916333,36.46116170181939,37.07980464585175,36.55523406149383,35.80033832193692,35.35563084017798,27.947043649216102,98.37082039591992
calm_5,calm,1.593979456723351,33.03862051159948,35.243564302113434,34.96694559457123,33.45398297227938,31.873957150264864,33.350042831725546,35.24945541226901,32.88112389139376,30.280477033124825,30.84707901566353,28.72411848081973,30.67210362355777,29.53411166710222,27.39734326492908,29.92316609985378,27.91635643626545,26.624676930293063,24.54635730144541,22.239297683437545,19.366185781456185,16.698558236441745,14.74640706205686,12.066698657819911,12.61356155448574,13.697848715282776,13.059631456274946,11.967578037987243,11.994735460120625,14.244765113528274,16.35155487446151,13.61240524653826,11.701395704117406,10.121864930743785,10.0,10.427395910456635,10.0,10.0,10.0,10.142517692305823,10.0,12.000751322731356,10.0,12.549051214108372,10.143730063587626,12.20517977317414,14.621098636739845,17.4985227202594,19.31067800190096,20.987543246528933,21.84244290250222,89.47582118336948,213.67283024089284
calm_6,calm,1.3821563213997572,35.57992709156258,33.387240342041466,33.60364855772729,33.68898577886978,35.834418643605126,35.61121483716622,34.921751813768346,35.75913144119101,34.35791134619608,32.19652181191982,32.0637854560623,31.565121667631608,29.96054131080485,29.165612171495617,28.3639668704531,27.328940256928373,26.605724735289947,27.72018480802562,26.501443655453333,29.194591215745376,31.692679332974443,31.578141902774917,30.548309132803045,30.760917871783064,32.85228080442481,33.76780484778542,35.594155815467886,35.79048947186233,36.58799524746806,35.31692893256283,36.726287906424574,34.94071546517888,36.10950423808987,38.27381864804524,36.0664356718545,36.752714115106016,34.323288604485626,35.67758237411419,33.18454168705531,35.80018062325907,33.62462820348588,36.37790967894036,38.18321473545093,38.74530676224906,40.44105139002634,42.21174042392485,44.88790280082883,43.40820292386395,43.94865829601381,41.51895348140022,46.50530229035016,58.95806931626083
calm_7,calm,1.3659847590495038,32.323314000482426,30.35106182503916,30.740765493873813,31.17534857807691,30.97125949596428,31.10705014904301,32.69059048908254,34.486058788154935,34.43897808160751,35.03653873074318,37.62395614488379,35.342357675890526,33.04497907129119,30.5712331427558,31.518412852998964,31.03006265774124,32.675991154592296,33.70337963444385,32.70520618441328,35.09540546858249,36.6705983510064,35.29380799646746,34.47896010309978,33.36559998432536,31.311269876075357,29.1979701113285,31.814734891582965,31.442159114775485,30.742078051439943,32.12019230350421,32.43815069502161,35.054990616052386,36.73679957950874,36.61301696425598,35.87117380514094,38.79096307468687,40.097524490708736,42.804692450731785,40.51556391403403,42.618765989178726,43.44120929312597,41.17273936313665,41.70228736295197,42.818865553584665,39.89268166891628,39.61858943996676,41.57098650714469,40.343140659209226,40.094429150000536,39.748313912407895,50.55519137984468,62.36500100149563
calm_8,calm,1.8996616381043865,26.038547828849836,28.54919920194316,30.23696341453225,27.900493880508915,30.882701827534355,33.157901973380824,31.86135260056506,33.88273207853069,31.521249269758982,34.515877652604416,35.50998606924364,36.41073616259642,33.95338052450122,36.335580917880975,33.50957793710779,31.954546285354677,29.812677536354485,31.473285180507798,29.66251054378518,32.12633990657049,33.06395414253544,30.28093040550361,27.313509410275817,24.62345691236221,25.259007978248576,27.067898843405068,25.4992157671694,27.59566882470784,24.9390604656274,26.74484358747745,29.311616168511136,30.94426656313742,32.132991267009245,34.16087257894154,31.40178037622394,29.612473040538276,27.36201511637213,27.38920105753005,28.86032982750312,29.64040089496151,31.74718749353312,29.678465448179665,31.08619199979064,29.24444094500406,27.868993452910864,29.128421636598688,32.00965034599078,32.6789119818532,30.00591387180097,30.703767691366167,18.9599713969647,125.29618677786075
calm_9,calm,1.172660150662285,20.84701103160334,23.15188529980424,24.409355010407964,22.448122088942984,19.99844812388817,18.09964749717009,20.979810574495243,20.73117442924618,22.435660119294628,23.25411017194129,23.688589071693112,21.55937059968341,24.23551732103198,23.04357311612029,23.511676410965546,24.71033207849994,25.60573100997179,28.249297468144903,26.13993140766525,26.190047838346903,25.6142541827915,25.459266559687208,23.174571716873675,20.97913937611027,19.64759265079781,18.4758202733628,18.0432395554509,18.70916483767067,19.516939542180246,18.987804921693662,18.440503578265847,16.746274738447617,17.276112228901667,16.178357696805094,13.394716702469276,12.90511696741044,12.74991301795146,11.103470227176723,11.53821782590942,11.932849228500944,13.144862315163174,14.032553208370434,14.947151547496624,13.844436458440882,15.569029790356606,15.863896091954684,15.452405263034024,16.208480148680366,15.372424155381893,15.44885962302244,76.77004296734776,206.86624215091942
